,nombre,marca,precio,color,talla,disponible,categoria
103,vestido vaquero azul medio sin mangas de mango,Mango,99.99,azul,L,True,
104,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,negro,XS,True,midi
105,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,negro,S,True,midi
106,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,negro,M,True,midi
107,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,negro,L,True,midi
108,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,negro,XL,True,midi
109,vestido midi negro con botones delanteros de mango,Mango,79.99,negro,XS,True,midi
110,vestido midi negro con botones delanteros de mango,Mango,79.99,negro,S,True,midi
111,vestido midi negro con botones delanteros de mango,Mango,79.99,negro,M,True,midi
112,vestido midi negro con botones delanteros de mango,Mango,79.99,negro,L,True,midi
113,vestido midi negro con botones delanteros de mango,Mango,79.99,negro,XL,True,midi
114,vestido vaquero corto azul con estampado de estrellas de mango,Mango,99.99,azul,S,True,corto
115,vestido vaquero corto azul con estampado de estrellas de mango,Mango,99.99,azul,M,True,corto
116,vestido vaquero corto azul con estampado de estrellas de mango,Mango,99.99,azul,L,True,corto
117,vestido de sastre midi gris con raya diplomática y escote palabra de honor de mango,Mango,79.99,gris,XS,True,midi
118,vestido de sastre midi gris con raya diplomática y escote palabra de honor de mango,Mango,79.99,gris,S,True,midi
119,vestido de sastre midi gris con raya diplomática y escote palabra de honor de mango,Mango,79.99,gris,M,True,midi
120,vestido de sastre midi gris con raya diplomática y escote palabra de honor de mango,Mango,79.99,gris,L,True,midi
121,vestido corto marrón de tirantes con volantes de mango,Mango,179.99,beige,XS,True,corto
122,vestido corto marrón de tirantes con volantes de mango,Mango,179.99,beige,S,True,corto
123,vestido corto marrón de tirantes con volantes de mango,Mango,179.99,beige,M,True,corto
124,vestido corto marrón de tirantes con volantes de mango,Mango,179.99,beige,L,True,corto
125,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,marrón,XS,True,midi
126,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,marrón,S,True,midi
127,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,marrón,M,True,midi
128,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,marrón,L,True,midi
129,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,marrón,XL,True,midi
130,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,azul,XS,True,corto
131,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,azul,S,True,corto
132,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,azul,M,True,corto
133,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,azul,L,True,corto
134,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,azul,XL,True,corto
135,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,azul,XS,True,largo
136,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,azul,S,True,largo
137,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,azul,M,True,largo
138,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,azul,L,True,largo
139,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,azul,XL,True,largo
140,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,marrón,XS,True,midi
141,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,marrón,S,True,midi
142,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,marrón,M,True,midi
143,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,marrón,L,True,midi
