,nombre,marca,precio,color,talla,stock,categoria
167,plus size velour mini dress,2,20.0,negro,XXL,27.0,3
168,plus size velour mini dress,2,20.0,negro,3XL,39.0,3
169,plus size velour mini dress,2,20.0,negro,4XL,40.0,3
170,plus size velour mini dress,2,20.0,negro,5XL,42.0,3
171,plus size velour mini dress,2,20.0,negro,6XL,10.0,3
172,plus size lace bell-sleeve mini dress,2,44.99,granate,XXL,30.0,3
173,plus size lace bell-sleeve mini dress,2,44.99,granate,3XL,45.0,3
174,plus size lace bell-sleeve mini dress,2,44.99,granate,4XL,45.0,3
175,plus size lace bell-sleeve mini dress,2,44.99,granate,5XL,44.0,3
176,plus size lace bell-sleeve mini dress,2,44.99,granate,6XL,15.0,3
177,sequin fitted thumbhole jumpsuit,2,29.99,negro,XS,42.0,4
178,sequin fitted thumbhole jumpsuit,2,29.99,negro,S,110.0,4
179,sequin fitted thumbhole jumpsuit,2,29.99,negro,M,92.0,4
180,sequin fitted thumbhole jumpsuit,2,29.99,negro,L,62.0,4
181,sequin fitted thumbhole jumpsuit,2,29.99,negro,XL,45.0,4
182,contour sculpt rhinestone midi tube dress,2,34.99,negro,XS,35.0,1
183,contour sculpt rhinestone midi tube dress,2,34.99,negro,S,90.0,1
184,contour sculpt rhinestone midi tube dress,2,34.99,negro,M,78.0,1
185,contour sculpt rhinestone midi tube dress,2,34.99,negro,L,51.0,1
186,contour sculpt rhinestone midi tube dress,2,34.99,negro,XL,38.0,1
187,faux gem cutout midi sweater dress,2,49.99,negro,XS,39.0,1
188,faux gem cutout midi sweater dress,2,49.99,negro,S,90.0,1
189,faux gem cutout midi sweater dress,2,49.99,negro,M,78.0,1
190,faux gem cutout midi sweater dress,2,49.99,negro,L,52.0,1
191,faux gem cutout midi sweater dress,2,49.99,negro,XL,39.0,1
192,velvet illusion mini dress,2,34.99,negro,XS,35.0,3
193,velvet illusion mini dress,2,34.99,negro,S,83.0,3
194,velvet illusion mini dress,2,34.99,negro,M,71.0,3
195,velvet illusion mini dress,2,34.99,negro,L,48.0,3
196,velvet illusion mini dress,2,34.99,negro,XL,35.0,3
197,turtleneck midi sweater dress,2,34.99,negro,XS,117.0,1
198,turtleneck midi sweater dress,2,34.99,negro,S,273.0,1
199,turtleneck midi sweater dress,2,34.99,negro,M,233.0,1
200,turtleneck midi sweater dress,2,34.99,negro,L,156.0,1
201,turtleneck midi sweater dress,2,34.99,negro,XL,117.0,1
202,turtleneck midi sweater dress,2,34.99,rojo,XS,60.0,1
203,turtleneck midi sweater dress,2,34.99,rojo,S,140.0,1
204,turtleneck midi sweater dress,2,34.99,rojo,M,120.0,1
205,turtleneck midi sweater dress,2,34.99,rojo,L,80.0,1
206,turtleneck midi sweater dress,2,34.99,rojo,XL,60.0,1
207,turtleneck midi sweater dress,2,34.99,blanco,XS,78.0,1
208,turtleneck midi sweater dress,2,34.99,blanco,S,182.0,1
209,turtleneck midi sweater dress,2,34.99,blanco,M,156.0,1
210,turtleneck midi sweater dress,2,34.99,blanco,L,104.0,1
211,turtleneck midi sweater dress,2,34.99,blanco,XL,78.0,1
212,velvet sweetheart mini tube dress,2,29.99,negro,XS,36.0,3
213,velvet sweetheart mini tube dress,2,29.99,negro,S,84.0,3
214,velvet sweetheart mini tube dress,2,29.99,negro,M,72.0,3
215,velvet sweetheart mini tube dress,2,29.99,negro,L,48.0,3
216,velvet sweetheart mini tube dress,2,29.99,negro,XL,36.0,3
217,faux gem midi sweater dress,2,39.99,negro,XS,117.0,1
218,faux gem midi sweater dress,2,39.99,negro,S,273.0,1
219,faux gem midi sweater dress,2,39.99,negro,M,234.0,1
220,faux gem midi sweater dress,2,39.99,negro,L,156.0,1
221,faux gem midi sweater dress,2,39.99,negro,XL,117.0,1
222,fitted lace-trim romper,2,29.99,rosa,XS,42.0,4
223,fitted lace-trim romper,2,29.99,rosa,S,98.0,4
224,fitted lace-trim romper,2,29.99,rosa,M,84.0,4
225,fitted lace-trim romper,2,29.99,rosa,L,56.0,4
226,fitted lace-trim romper,2,29.99,rosa,XL,42.0,4
227,fitted lace-trim romper,2,29.99,negro,XS,63.0,4
228,fitted lace-trim romper,2,29.99,negro,S,147.0,4
229,fitted lace-trim romper,2,29.99,negro,M,126.0,4
230,fitted lace-trim romper,2,29.99,negro,L,84.0,4
231,fitted lace-trim romper,2,29.99,negro,XL,62.0,4
232,ruched two-tone mini tube dress,2,34.99,negro,XS,39.0,3
233,ruched two-tone mini tube dress,2,34.99,negro,S,91.0,3
234,ruched two-tone mini tube dress,2,34.99,negro,M,77.0,3
235,ruched two-tone mini tube dress,2,34.99,negro,L,52.0,3
236,ruched two-tone mini tube dress,2,34.99,negro,XL,39.0,3
237,sweetheart bodycon mini dress,2,34.99,negro,XS,42.0,3
238,sweetheart bodycon mini dress,2,34.99,negro,S,98.0,3
239,sweetheart bodycon mini dress,2,34.99,negro,M,84.0,3
240,sweetheart bodycon mini dress,2,34.99,negro,L,54.0,3
241,sweetheart bodycon mini dress,2,34.99,negro,XL,41.0,3
242,off-the-shoulder corset mini dress,2,39.99,negro,XS,48.0,3
243,off-the-shoulder corset mini dress,2,39.99,negro,S,112.0,3
244,off-the-shoulder corset mini dress,2,39.99,negro,M,96.0,3
245,off-the-shoulder corset mini dress,2,39.99,negro,L,64.0,3
246,off-the-shoulder corset mini dress,2,39.99,negro,XL,48.0,3
247,plus size glitter knit midi dress,2,39.99,plata,XXL,34.0,1
248,plus size glitter knit midi dress,2,39.99,plata,3XL,51.0,1
249,plus size glitter knit midi dress,2,39.99,plata,4XL,51.0,1
250,plus size glitter knit midi dress,2,39.99,plata,5XL,50.0,1
251,plus size glitter knit midi dress,2,39.99,plata,6XL,17.0,1
252,plus size halter m-slit mini dress,2,39.99,negro,XXL,26.0,3
253,plus size halter m-slit mini dress,2,39.99,negro,3XL,38.0,3
254,plus size halter m-slit mini dress,2,39.99,negro,4XL,38.0,3
255,plus size halter m-slit mini dress,2,39.99,negro,5XL,39.0,3
256,plus size halter m-slit mini dress,2,39.99,negro,6XL,13.0,3
257,belted mini sweater dress,2,44.99,negro,XS,117.0,3
258,belted mini sweater dress,2,44.99,negro,S,272.0,3
259,belted mini sweater dress,2,44.99,negro,M,234.0,3
260,belted mini sweater dress,2,44.99,negro,L,156.0,3
261,belted mini sweater dress,2,44.99,negro,XL,117.0,3
262,belted mini sweater dress,2,44.99,gris,XS,60.0,3
263,belted mini sweater dress,2,44.99,gris,S,140.0,3
264,belted mini sweater dress,2,44.99,gris,M,120.0,3
265,belted mini sweater dress,2,44.99,gris,L,80.0,3
266,belted mini sweater dress,2,44.99,gris,XL,60.0,3
267,belted mini sweater dress,2,44.99,beige,XS,78.0,3
268,belted mini sweater dress,2,44.99,beige,S,182.0,3
269,belted mini sweater dress,2,44.99,beige,M,156.0,3
270,belted mini sweater dress,2,44.99,beige,L,103.0,3
271,belted mini sweater dress,2,44.99,beige,XL,78.0,3
272,sheer lace bodycon mini dress,2,29.99,negro,XS,48.0,3
273,sheer lace bodycon mini dress,2,29.99,negro,S,118.0,3
274,sheer lace bodycon mini dress,2,29.99,negro,M,94.0,3
275,sheer lace bodycon mini dress,2,29.99,negro,L,62.0,3
276,sheer lace bodycon mini dress,2,29.99,negro,XL,49.0,3
277,sheer lace bodycon mini dress,2,29.99,granate,XS,24.0,3
278,sheer lace bodycon mini dress,2,29.99,granate,S,52.0,3
279,sheer lace bodycon mini dress,2,29.99,granate,M,45.0,3
280,sheer lace bodycon mini dress,2,29.99,granate,L,31.0,3
281,sheer lace bodycon mini dress,2,29.99,granate,XL,23.0,3
282,foldover off-the-shoulder midi dress,2,34.99,negro,XS,48.0,1
283,foldover off-the-shoulder midi dress,2,34.99,negro,S,112.0,1
284,foldover off-the-shoulder midi dress,2,34.99,negro,M,96.0,1
285,foldover off-the-shoulder midi dress,2,34.99,negro,L,64.0,1
286,foldover off-the-shoulder midi dress,2,34.99,negro,XL,48.0,1
287,foldover off-the-shoulder midi dress,2,34.99,verde,XS,30.0,1
288,foldover off-the-shoulder midi dress,2,34.99,verde,S,70.0,1
289,foldover off-the-shoulder midi dress,2,34.99,verde,M,60.0,1
290,foldover off-the-shoulder midi dress,2,34.99,verde,L,40.0,1
291,foldover off-the-shoulder midi dress,2,34.99,verde,XL,30.0,1
292,sheer square-neck mini dress,2,29.99,negro,XS,63.0,3
293,sheer square-neck mini dress,2,29.99,negro,S,147.0,3
294,sheer square-neck mini dress,2,29.99,negro,M,126.0,3
295,sheer square-neck mini dress,2,29.99,negro,L,84.0,3
296,sheer square-neck mini dress,2,29.99,negro,XL,63.0,3
297,sheer square-neck mini dress,2,29.99,granate,XS,23.0,3
298,sheer square-neck mini dress,2,29.99,granate,S,56.0,3
299,sheer square-neck mini dress,2,29.99,granate,M,48.0,3
300,sheer square-neck mini dress,2,29.99,granate,L,32.0,3
301,sheer square-neck mini dress,2,29.99,granate,XL,24.0,3
302,satin sash mini tube dress,2,39.99,negro,XS,38.0,3
303,satin sash mini tube dress,2,39.99,negro,S,90.0,3
304,satin sash mini tube dress,2,39.99,negro,M,77.0,3
305,satin sash mini tube dress,2,39.99,negro,L,52.0,3
306,satin sash mini tube dress,2,39.99,negro,XL,39.0,3
307,satin sash mini tube dress,2,39.99,rojo,XS,21.0,3
308,satin sash mini tube dress,2,39.99,rojo,S,55.0,3
309,satin sash mini tube dress,2,39.99,rojo,M,46.0,3
310,satin sash mini tube dress,2,39.99,rojo,L,32.0,3
311,satin sash mini tube dress,2,39.99,rojo,XL,24.0,3
312,sleeveless blazer mini dress,2,44.99,negro,XS,48.0,3
313,sleeveless blazer mini dress,2,44.99,negro,S,112.0,3
314,sleeveless blazer mini dress,2,44.99,negro,M,96.0,3
315,sleeveless blazer mini dress,2,44.99,negro,L,63.0,3
316,sleeveless blazer mini dress,2,44.99,negro,XL,48.0,3
317,velvet blazer mini dress,2,54.99,negro,XS,41.0,3
318,velvet blazer mini dress,2,54.99,negro,S,98.0,3
319,velvet blazer mini dress,2,54.99,negro,M,82.0,3
320,velvet blazer mini dress,2,54.99,negro,L,55.0,3
321,velvet blazer mini dress,2,54.99,negro,XL,40.0,3
322,strapless wide-leg jumpsuit,2,54.99,negro,XS,29.0,4
