,nombre,marca,precio,color,talla,categoria
81,Vestido Marilyn Lurex,Natural by Lila,29.95,sin definir,M,corto
82,Vestido Mini Elástico,Natural by Lila,24.95,sin definir,S,corto
83,Vestido Mini Elástico,Natural by Lila,24.95,sin definir,M,corto
84,Vestido Bardot Asimétrico Lurex,Natural by Lila,49.99,sin definir,S,largo
85,Vestido Bardot Asimétrico Lurex,Natural by Lila,49.99,sin definir,M,largo
86,Vestido Roma,Natural by Lila,49.95,sin definir,S,largo
87,Vestido Roma,Natural by Lila,49.95,sin definir,M,largo
88,Vestido Nudo Manga Larga,Natural by Lila,39.95,sin definir,S,largo
89,Vestido Nudo Manga Larga,Natural by Lila,39.95,sin definir,M,largo
90,Vestido Leyla,Natural by Lila,49.95,sin definir,S,largo
91,Vestido Leyla,Natural by Lila,49.95,sin definir,M,largo
92,Vestido Elástico Asimétrico Midi,Natural by Lila,39.95,sin definir,S,largo
93,Vestido Elástico Asimétrico Midi,Natural by Lila,39.95,sin definir,M,largo
94,Vestido Midi Raso Cascada,Natural by Lila,39.95,sin definir,S,largo
95,Vestido Midi Raso Cascada,Natural by Lila,39.95,sin definir,M,largo
96,Vestido Manga Gasa Gina,Natural by Lila,49.95,sin definir,S,largo
97,Vestido Manga Gasa Gina,Natural by Lila,49.95,sin definir,M,largo
98,Vestido Gasa Granada,Natural by Lila,49.95,sin definir,S,largo
99,Vestido Gasa Granada,Natural by Lila,49.95,sin definir,M,largo
100,Vestido Golden Diva,Natural by Lila,44.99,sin definir,S,largo
101,Vestido Golden Diva,Natural by Lila,44.99,sin definir,M,largo
102,Vestido Largo Lurex Asimétrico,Natural by Lila,49.99,sin definir,S,largo
103,Vestido Largo Strass,Natural by Lila,39.99,sin definir,S,largo
104,Vestido Largo Strass,Natural by Lila,39.99,sin definir,M,largo
105,Vestido Naila Lurex,Natural by Lila,44.99,sin definir,S,largo
106,Vestido Naila Lurex,Natural by Lila,44.99,sin definir,M,largo
107,Vestido Nudo Largo Lurex,Natural by Lila,49.99,sin definir,S,largo
108,Vestido Nudo Largo Lurex,Natural by Lila,49.99,sin definir,M,largo
109,Vestido Rose,Natural by Lila,59.99,sin definir,S,largo
110,Vestido Rose,Natural by Lila,59.99,sin definir,M,largo
111,Vestido Vienna,Natural by Lila,49.95,sin definir,S,largo
112,Vestido Vienna,Natural by Lila,49.95,sin definir,M,largo
113,Vestido Gasa Brigitte,Natural by Lila,49.99,sin definir,S,largo
114,Vestido Gasa Brigitte,Natural by Lila,49.99,sin definir,M,largo
115,Vestido Ocean Velvet,Natural by Lila,49.99,sin definir,S,largo
116,Vestido Ocean Velvet,Natural by Lila,49.99,sin definir,M,largo
117,Vestido Tania Corsé con Drapeado,Natural by Lila,59.95,sin definir,S,largo
118,Vestido Tania Corsé con Drapeado,Natural by Lila,59.95,sin definir,M,largo
119,Vestido Raso Halter,Natural by Lila,49.95,sin definir,S,largo
120,Vestido Raso Halter,Natural by Lila,49.95,sin definir,M,largo
121,Vestido Bianca Estampado,Natural by Lila,59.99,sin definir,S,largo
122,Vestido Bianca Estampado,Natural by Lila,59.99,sin definir,M,largo
123,Vestido Lady,Natural by Lila,49.99,sin definir,S,largo
124,Vestido Lady,Natural by Lila,49.99,sin definir,M,largo
125,Vestido Gasa Estampado Geométrico,Natural by Lila,59.99,sin definir,S,largo
126,Vestido Gasa Estampado Geométrico,Natural by Lila,59.99,sin definir,M,largo
127,Vestido Carlota,Natural by Lila,49.95,sin definir,S,largo
128,Vestido Carlota,Natural by Lila,49.95,sin definir,M,largo
129,Vestido Midi Tirantes Cruzados Leah,Natural by Lila,39.99,sin definir,S,largo
130,Vestido Midi Tirantes Cruzados Leah,Natural by Lila,39.99,sin definir,M,largo
131,Vestido Goddess,Natural by Lila,59.95,sin definir,S,largo
132,Vestido Goddess,Natural by Lila,59.95,sin definir,M,largo
133,Vestido Maxi Paillettes,Natural by Lila,59.95,sin definir,S,largo
134,Vestido Maxi Paillettes,Natural by Lila,59.95,sin definir,M,largo
135,Vestido Midi Escote Cascada,Natural by Lila,32.95,sin definir,S,largo
136,Vestido Midi Escote Cascada,Natural by Lila,32.95,sin definir,M,largo
137,Vestido Gasa Sevilla,Natural by Lila,49.95,sin definir,S,largo
138,Vestido Gasa Sevilla,Natural by Lila,49.95,sin definir,M,largo
139,Vestido Oslo,Natural by Lila,49.95,sin definir,S,largo
140,Vestido Oslo,Natural by Lila,49.95,sin definir,M,largo
141,Vestido Gasa Vittoria,Natural by Lila,49.95,sin definir,S,largo
142,Vestido Gasa Vittoria,Natural by Lila,49.95,sin definir,M,largo
143,Vestido Sirena,Natural by Lila,39.95,sin definir,S,largo
144,Vestido Sirena,Natural by Lila,39.95,sin definir,M,largo
145,Vestido Málaga,Natural by Lila,49.95,sin definir,S,largo
146,Vestido Málaga,Natural by Lila,49.95,sin definir,M,largo
147,Vestido Asimétrico Lyon,Natural by Lila,49.95,sin definir,S,largo
148,Vestido Asimétrico Lyon,Natural by Lila,49.95,sin definir,M,largo
149,Vestido Giralda,Natural by Lila,79.95,sin definir,S,largo
150,Vestido Giralda,Natural by Lila,79.95,sin definir,M,largo
151,Vestido Greta,Natural by Lila,49.95,sin definir,S,largo
152,Vestido Greta,Natural by Lila,49.95,sin definir,M,largo
153,Vestido Gasa Oporto,Natural by Lila,49.95,sin definir,S,largo
154,Vestido Gasa Oporto,Natural by Lila,49.95,sin definir,M,largo
155,Vestido Largo Volantes Gasa Estampado,Natural by Lila,59.95,sin definir,S,largo
156,Vestido Largo Volantes Gasa Estampado,Natural by Lila,59.95,sin definir,M,largo
157,Vestido Lencero Raso,Natural by Lila,59.95,sin definir,S,largo
158,Vestido Lencero Raso,Natural by Lila,59.95,sin definir,M,largo
159,Vestido Midi Cutout Hombreras,Natural by Lila,39.95,sin definir,S,largo
160,Vestido Midi Cutout Hombreras,Natural by Lila,39.95,sin definir,M,largo
161,Vestido Zahara,Natural by Lila,59.95,sin definir,S,largo
162,Vestido Zahara,Natural by Lila,59.95,sin definir,XS,largo
163,Vestido Zahara,Natural by Lila,59.95,sin definir,M,largo
164,Vestido Anilla Boho,Natural by Lila,59.95,sin definir,S,largo
165,Vestido Anilla Boho,Natural by Lila,59.95,sin definir,M,largo
166,Vestido Midi Tactel Cutout,Natural by Lila,39.95,sin definir,S,largo
