,nombre,marca,precio,color,talla,categoria
194,velvet illusion mini dress,Forever21,34.99,negro,M,mini
195,velvet illusion mini dress,Forever21,34.99,negro,L,mini
196,velvet illusion mini dress,Forever21,34.99,negro,XL,mini
197,turtleneck midi sweater dress,Forever21,34.99,negro,XS,midi
198,turtleneck midi sweater dress,Forever21,34.99,negro,S,midi
199,turtleneck midi sweater dress,Forever21,34.99,negro,M,midi
200,turtleneck midi sweater dress,Forever21,34.99,negro,L,midi
201,turtleneck midi sweater dress,Forever21,34.99,negro,XL,midi
202,turtleneck midi sweater dress,Forever21,34.99,rojo,XS,midi
203,turtleneck midi sweater dress,Forever21,34.99,rojo,S,midi
204,turtleneck midi sweater dress,Forever21,34.99,rojo,M,midi
205,turtleneck midi sweater dress,Forever21,34.99,rojo,L,midi
206,turtleneck midi sweater dress,Forever21,34.99,rojo,XL,midi
207,turtleneck midi sweater dress,Forever21,34.99,blanco,XS,midi
208,turtleneck midi sweater dress,Forever21,34.99,blanco,S,midi
209,turtleneck midi sweater dress,Forever21,34.99,blanco,M,midi
210,turtleneck midi sweater dress,Forever21,34.99,blanco,L,midi
211,turtleneck midi sweater dress,Forever21,34.99,blanco,XL,midi
212,velvet sweetheart mini tube dress,Forever21,29.99,negro,XS,mini
213,velvet sweetheart mini tube dress,Forever21,29.99,negro,S,mini
214,velvet sweetheart mini tube dress,Forever21,29.99,negro,M,mini
215,velvet sweetheart mini tube dress,Forever21,29.99,negro,L,mini
216,velvet sweetheart mini tube dress,Forever21,29.99,negro,XL,mini
217,faux gem midi sweater dress,Forever21,39.99,negro,XS,midi
218,faux gem midi sweater dress,Forever21,39.99,negro,S,midi
219,faux gem midi sweater dress,Forever21,39.99,negro,M,midi
220,faux gem midi sweater dress,Forever21,39.99,negro,L,midi
221,faux gem midi sweater dress,Forever21,39.99,negro,XL,midi
222,fitted lace-trim romper,Forever21,29.99,rosa,XS,
223,fitted lace-trim romper,Forever21,29.99,rosa,S,
224,fitted lace-trim romper,Forever21,29.99,rosa,M,
225,fitted lace-trim romper,Forever21,29.99,rosa,L,
226,fitted lace-trim romper,Forever21,29.99,rosa,XL,
227,fitted lace-trim romper,Forever21,29.99,negro,XS,
228,fitted lace-trim romper,Forever21,29.99,negro,S,
229,fitted lace-trim romper,Forever21,29.99,negro,M,
230,fitted lace-trim romper,Forever21,29.99,negro,L,
231,fitted lace-trim romper,Forever21,29.99,negro,XL,
232,ruched two-tone mini tube dress,Forever21,34.99,negro,XS,mini
