,nombre,marca,precio,color,talla,categoria
144,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,brown,XL,midi
145,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,green,XS,largo
146,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,green,S,largo
147,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,green,M,largo
148,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,green,L,largo
149,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,green,XL,largo
150,vestido corto gris medio de satén de la colección cápsula de mango,Mango,179.99,grey,XS,corto
151,vestido corto gris medio de satén de la colección cápsula de mango,Mango,179.99,grey,S,corto
152,vestido corto gris medio de satén de la colección cápsula de mango,Mango,179.99,grey,M,corto
153,vestido corto gris medio de satén de la colección cápsula de mango,Mango,179.99,grey,L,corto
154,vestido midi beis de manga corta de mango,Mango,59.99,beige,XS,midi
155,vestido midi beis de manga corta de mango,Mango,59.99,beige,S,midi
156,vestido midi beis de manga corta de mango,Mango,59.99,beige,M,midi
157,vestido midi beis de manga corta de mango,Mango,59.99,beige,L,midi
158,vestido midi beis de manga corta de mango,Mango,59.99,beige,XL,midi
159,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,red,XS,midi
160,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,red,S,midi
161,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,red,M,midi
162,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,red,L,midi
163,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,red,XL,midi
164,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,white,XS,midi
165,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,white,S,midi
166,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,white,M,midi
167,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,white,L,midi
168,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,white,XL,midi
169,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,black,XS,midi
170,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,black,S,midi
171,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,black,M,midi
172,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,black,L,midi
173,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,black,XL,midi
174,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,brown,XS,midi
175,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,brown,S,midi
176,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,brown,M,midi
177,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,brown,L,midi
178,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,brown,XL,midi
179,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,black,XS,midi
180,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,black,S,midi
181,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,black,M,midi
182,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,black,L,midi
183,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,black,XL,midi
184,vestido largo negro con detalle de abertura en la espalda de mango,Mango,129.99,black,S,largo
185,vestido largo negro con detalle de abertura en la espalda de mango,Mango,129.99,black,M,largo
186,vestido largo negro con detalle de abertura en la espalda de mango,Mango,129.99,black,L,largo
187,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,grey,XS,largo
188,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,grey,S,largo
189,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,grey,M,largo
190,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,grey,L,largo
191,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,grey,XL,largo
192,"vestido corto con estampado de leopardo, vuelo y escote bardot de mango",Mango,69.99,brown,XS,corto
193,"vestido corto con estampado de leopardo, vuelo y escote bardot de mango",Mango,69.99,brown,S,corto
194,"vestido corto con estampado de leopardo, vuelo y escote bardot de mango",Mango,69.99,brown,M,corto
195,"vestido corto con estampado de leopardo, vuelo y escote bardot de mango",Mango,69.99,brown,L,corto
196,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,navy,XS,corto
197,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,navy,S,corto
198,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,navy,M,corto
199,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,navy,L,corto
200,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,navy,XL,corto
201,vestido midi blanco con bajo de encaje de mango,Mango,99.99,white,XS,midi
202,vestido midi blanco con bajo de encaje de mango,Mango,99.99,white,S,midi
203,vestido midi blanco con bajo de encaje de mango,Mango,99.99,white,M,midi
204,vestido midi blanco con bajo de encaje de mango,Mango,99.99,white,L,midi
205,vestido midi blanco con bajo de encaje de mango,Mango,99.99,white,XL,midi
206,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,dark brown,XS,largo
207,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,dark brown,S,largo
208,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,dark brown,M,largo
209,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,dark brown,L,largo
210,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,dark brown,XL,largo
211,vestido corto blanco amplio con detalle de encaje de vero moda,VeroModa,45.0,white,XXS,corto
212,vestido corto blanco amplio con detalle de encaje de vero moda,VeroModa,45.0,white,XS,corto
213,vestido corto blanco amplio con detalle de encaje de vero moda,VeroModa,45.0,white,S,corto
214,vestido corto blanco amplio con detalle de encaje de vero moda,VeroModa,45.0,white,M,corto
215,vestido corto blanco amplio con detalle de encaje de vero moda,VeroModa,45.0,white,L,corto
216,vestido corto blanco amplio con detalle de encaje de vero moda,VeroModa,45.0,white,XL,corto
217,vestido corto blanco amplio con detalle de encaje de vero moda,VeroModa,45.0,white,XXL,corto
218,vestido camisero blanco extragrande de tejido texturizado de vero moda,VeroModa,62.0,white,XXS,
219,vestido camisero blanco extragrande de tejido texturizado de vero moda,VeroModa,62.0,white,XS,
220,vestido camisero blanco extragrande de tejido texturizado de vero moda,VeroModa,62.0,white,S,
221,vestido camisero blanco extragrande de tejido texturizado de vero moda,VeroModa,62.0,white,M,
222,vestido camisero blanco extragrande de tejido texturizado de vero moda,VeroModa,62.0,white,L,
223,vestido camisero blanco extragrande de tejido texturizado de vero moda,VeroModa,62.0,white,XL,
224,vestido camisero blanco extragrande de tejido texturizado de vero moda,VeroModa,62.0,white,XXL,
225,vestido playero corto blanco cruzado en la parte delantera de algodón de vero moda,VeroModa,47.0,snow white,XXS,corto
226,vestido playero corto blanco cruzado en la parte delantera de algodón de vero moda,VeroModa,47.0,snow white,XS,corto
